BUKUSU ANNOTATION 4	
WORD	POS
NDI	PRON
NE	CONJU
BAKHASI	NN
BANGE	PRON
BALI	V
NE	CONJU
BISOMBO	NN
BOOSI	ADV
-	PUNCT
KAMAEMBA	NN
	
OMUKHANA	
ALI	
EWENYWE	
KARUNGA	
CHIMBELE	
-	
CHIKHANU	
.	
	
KACHENJA	
MUSIKAPO	
-	
OMWEA KHUSITANDA	
.	
PIKI	
PIKI	
KHUMUNINA	
-	
OMUKHASI	
WE	
SISOMBO	
.	
	
PAPA	
ABIRIRE	
KHUNO	
OMUROCHAKE	
-	
SINYWA	
.	
	
TAUTI	
MWISAMBA	
-	
ENDA MUSTWEYA	
.	
	
NDI	
NEKHAFU	
YASE	
EKENDA	
NESALA	
-	
LISIEBEBE	
.	
KHASANDU	
MULAMWA	
-	
SIBIRITI	
.	
	
MBIRIRE 	
EYI	
BANJOKELELA	
-	
CHISI	
KHUMAFWI	
.	
	
SIKUMBA	
NE	
KUMUNYU	
-	
KAMAFWI	
NE	
KAMENYI	
.	
	
OMWEKESIA	
AKONA	
NE	
BASOMI	
BAYOKELA	
-	
CHISI	
KHU	
MAFWI	
.	
	
NAKHOLO	
KEMA	
KHU	
SILI	
KALANGA	
ENJALA	
EBUWANGA-	
CHIMBEBA	
KHULUCHO	
.	
	
NAKHOLO	
KEMA	
KHUSILI	
KALOLA	
-	
SISIOLE	
.	
	
TONDO	
WAFWA	
TONDO	
WAKOBOLA	
-	
ENOMBELA	
YE	
LIPWONI	
.	
	
MUTIEMBU	
KHU	
NDIKA-	
ENDEMU 	
MUMECHI	
.	
	
YIMA	
MWANGELEKHA	
KHUNALANE	
BUNALA	
-	
BUSUMA	
BWE	
BULO	
NE	
MURERE.	
	
NANINA	
KHU	
MUSALA	
NEKHALA	
KUMUKONGO	
-	
LIWA LIKHUUNA	
WEYELA	
LILINDI	
.	
	
NDOLELE	
KHUBOLELE	
-	
EBARUA	
.	
	
OMUKHANA	
ALI	
EWENYWE	
KEKHALA	
KEAKHILISIA	
-	
	
NACHILE	
EMBALE	
NANYOLA	
OMUSUNGU	
ALOMA	
LUSUNGU	
FWOT	
FWOT	
-	
MANGICHORIE	
KHWIROFU	
.	
	
SESELA	
MUMBOKA	
-	
LUBEKO	
MWICHUNE	
.	
	
TOPPE	
MWANGELEKHA	
-	
EKHISI	
MUMAKANDA	
.	
	
KUMUFUFULE	
KUMOTOLE	
-	
KUMULILO	
MWIBIBI	
.	
