WORD	POS
ne	CONJ
mukhalaangilile	V
silaamo	NN
ne	CONJ
muli	V
khul	
khwechuba	V
khu	ADP
Wele	NN
Omunyali	ADJ
Owa	ADP
Bion	
khu	ADP
sikulu	NN
sia	ADP
Ebali.	
30	NUM
Bikulu	NN
bibili	NN
bino	DET
bili	V
lubeka 	NN
lwe	ADP
mumbo	NN
mwe	ADP
Luluuchi	NN
ne	CONJ
şi	
,	PUNCT
biianwa	NN
bie	ADP
mu	ADP
lienya	V
lienywe	PRON
,	PUNCT
lwa	ADP
Yoritani	NN
mu	ADP
sibala	NN
sie	ADP
Bakanaa	NN
kam	
Chikhaafu	NN
chenywe	PRON
chimbele	V
ne	CONJ
ni	
bamenyile	V
mu	ADP
Litooma	NN
lia	ADP
Yoritani	NN
.	PUNCT
be	ADP
akheese	
.	PUNCT
?	PUNCT
Ebweeneyo	DET
enywe	PRON
nende	CONJ
Bialoleelela	V
lubeka	NN
lwe	ADP
mumbo	NN
,	PUNCT
siimbi	ADV
ni	
linju	
chenywe	PRON
mukhayile	V
ebwee	
a	
Wele	NN
Omunyali	ADJ
Owa	ADP
Bioosi	DET
ne	CONJ
kumurongooro	NN
kumukhoonge	NN
kwa	ADP
khul	
More	
siimbi	ADV
ne	CONJ
Kilikali	NN
.	PUNCT
31	NUM
Enywe	PRON
muli	V
nibi	
Khwikhoyela	V
nibio	PRON
mwakhola	V
lundi	ADV
siimbi	ADV
khukhwambukha	V
Luluuchi	NN
lwa	ADP
Wen	
Wele	NN
Omunyali	ADJ
Owa	ADP
Bioosi	DET
,	PUNCT
Wele	NN
lywe	
aamuelesia	V
8	NUM
Yoritani	NN
mala	CONJ
mwingisie	V
sibala	NN
nisio	PRON
A	
Wele	NN
Omunyali	ADJ
Owa	ADP
Bioosi	DET
,	PUNCT
Wele	NN
wenywe	PRON
likh	
Mukhakhola	V
mu	ADP
ngila	NN
niyo	
khu	ADP
alikho	V
amuelesia	V
.	PUNCT
Ne	CONJ
mala	CONJ
Biis	
.	PUNCT
10	NUM
khukholelamo	V
biise	NN
bino	DET
tawe	ADV
.	PUNCT
e	
bino	DET
buli	DET
mulala	PRON
alikho	V
akho	
mwombakhe	V
mumenyemo	V
,	PUNCT
32	NUM
mube	V
lan	
barekerefu	NN
khuria	V
kamalaka	NN
koosi	DET
niko	DET
nije	
ko	
abona	V
ali	DET
kali	V
kamalayi	ADJ
khu	ADP
ndikho	V
muelesia	V
enywe	PRON
endaalo	NN
yino	DET
.	PUNCT
muki	
:	PUNCT
'	PUNCT
Mulakholanga	V
 murio	DET
sikila	CONJ
Khanyoola	V
buuluukhi	NN
ne	CONJ
khukhwi	
Abuundu	NN
alala	ADV
ong'ene	ADV
ekhusaaya	NN
Binene	
mu	ADP
sibala	NN
nisio	DET
Wele	NN
Omunyali	ADJ
Owa	ADP
19	NUM
“Kano	
kali	
kamalaka	NN
niko	DET
mbul	
Kamueleesia	V
enywe	PRON
tawe	ADV
.	PUNCT
10	NUM
Mula	V
mukhoyela	V
khuria	V
ne	CONJ
mumenya	V
Wele	NN
kha	
Luluuchi	NN
lwa	ADP
Yoritani	NN
,	PUNCT
mala	CONJ
mu	ADP
sibala	NN
nisio	DET
Wele	NN
Omunyali	ADJ
Owa	ADP
le	
Omunyali	ADJ
Owa	ADP
Bioosi	DET
amulekhuu	
Bioosi	DET
,	PUNCT
Wele	NN
owe	ADP
bakuuka	NN
benywe	PRON
alikhoom	
lywe	
mwingisie	V
sibala	NN
esio	DET
,	PUNCT
nisio	DET
amuelesia	V
enywe	PRON
mu	ADP
menyemo	V
.	PUNCT
Karie	
Alan	
Nende	CONJ
Amuelesie	V
,	PUNCT
lundi	CONJ
mumenyeyo	V
.	PUNCT
noliinda	V
khukhwama	ADP
khu	ADP
basuku	NN
biise	NN
bioosi	DET
nibio	DET
mumenya	V
mu	ADP
sibala	NN
.	PUNCT
benu	
2	NUM
Mukhoya	V
mwonakake	V
abuundu	NN
oosi	DET
niio	DET
11	NUM
We	
mala	CONJ
mulamenya	V
mu	ADP
 muleembe	NN
.	PUNCT
beele	V
babaandu	NN
be	ADP
chikholo	NN
nibo	PRON
mubu	
-	
lile	
le	
Omunyali	ADJ
Owa	ADP
Bioosi	DET
ne	CONJ
ama	
kula	
bumenyo	NN
bwabwe	PRON
basaayilanga	V
alala	ADV
Akhola	V
Ario	DET
alarobora	V
abuundu	NN
ba	ADP
Wele	NN
babwe	PRON
.	PUNCT
Basaayilanga	V
khu	ADP
bikulu	NN
Mur	
 ong'ene	ADV
ekhusaaya	V
 Abwenaoa	DET
Cerere	X
buli	DET
siindu	NN
nisio	DET
ese	PRON
mula	V
lu	
bileeyi	ADJ
,	PUNCT
Ne	CONJ
khu	ADP
bikulu	NN
bitiiti	ADJ
nende	CONJ
ka	
:	PUNCT
blianwa	
bie	ADP
khukhwosia	V
bienywe	PRON
asi	ADV
we	ADP
kimirongooro	NN
Techula	V
Chialu	
nes	
tare	
chabwe	PRON
ne	CONJ
khuumbulaka	V
chinjeko	
khwi	
Imbosio	
,	PUNCT
biaanwa	NN
bie	ADP
sitonyi	NN
silala	NN
khumi	
,	PUNCT
biianwa	NN
bienywe	PRON
bibiindi	PRON
ne	CONJ
chabwe	PRON
Yosia	V
bifwaani	NN
bia	ADP
wele	NN
wabwe	PRON
bija	
Asiera	
.	PUNCT
Lundi	ADV
kwisia	V
bifwaani	NN
bie	ADP
Ba	ADP
Wele	NN
Wels	
Twa	ADV
nibio	DET
asuubisia	V
khuaana	
khu	ADP
babwe	PRON
bikwe	V
nio	DET
bakhasaayila	V
abuundu	NN
mwi	
Omunyali	ADJ
Owa	ADP
Bioosi	DET
.	PUNCT
12	NU
Mukhoya	V
Ao	
lundi	ADV
tawe	ADV
.	PUNCT
de	
Owari	
Khoye	V
ebweeni	ADP
wa	
Wele	NN
Omunyali	ADJ
4	NUM
Mukhasaaya	V
Wele	NN
Omunyali	ADJ
