WORD	SPEECH TAG
LIMANYISIA	
Amosi	NN
aba	v
omung'oosi	NN
we	conj
khunyoa	NN
mu	ADP
Bibilia	nn
ye	conj
burume	nn
bwewe	pron
bwaandikwa	v
mu	ADP
buleeyi	adj
.	punct
Akhaba	adv
ne	conj
aama	adv
mu	ADP
lukoba	nn
e	conj
Buyuda	nn
,	punct
elwachila	v
Baisiraeli	nn
be	ADP
bubwami	nn
bwewe	pron
bunaswa	nn
,	PUNCT
embi	adj
we	ADP
sisiiko	nn
sia	ADP
munaane	num
.	punct
Siaba	V
siise	adj
sie	ADP
kimiaandu	nn
kimikali	adj
ne	conj
liiba	adj
lie	ADP
dini	nn
,	punct
limanyikhana	v
,	punct
ne	conj
lialolekha	v
oli	CONJ
kumuleembe	nn
kuulio	adv
.	punct
Ne	conj
kakhali	CONJ
Amosi	nn
abona	v
ali	DET
kimiaandu	nn
kiaba	v
khunyoa	v
baiinda	nn
bong'ene	v
lundi	conj
kiaama	ADP
mu	ADP
khukholela	v
bamanaani	nn
kakhali	adj
ng'ali	adj
tawe	adv
.	punct
Liiba	nn
lie	ADP
dini	nn
se	adv
liaba	v
liluungi	adj
tawe	adv
,	punct
ne	conj
kumuleembe	nn
okwo	det
se	adv
kwaba	v
kwa	conj
ng'ali	nn
tawe	adv
.	punct
Amosi	nn
mu	ADP
silukuluku	nn
ne	conj
mu	adp
bunyindaafu	adj
bwewe	pron
,	punct
elwacha	v
ali	conj
Wele	nn
alaukuuma	v
ekholo	nn
.	punct
Eenya	v
bung'ali	nn
bubonekhe	v
,	punct
ne	conj
khuloma	v
ali	conj
,	punct
""""	punct
Wakana	adv
alaba	v
ne	conj
siisa	nn
khu	ADP
baandu	nn
be	ADP
kholo	nn
yino	det
basiili	v
balamu	nn
.	punct
""""	punct
yino	det
niyo	v
elomo	nn
eya	ADP
Amosi	nn
,	punct
owaba	pron
omwaayi	nn
khukhwama	adv
mu	adp
lukoba	nn
lwa	ADP
Tekoa	nn
.	punct
Wele	nn
ekesia	v
Amosi	nn
bibiindu	nn
bioosi	adj
biliekholekha	v
khu	ADP
Isiraeli	nn
,	punct
kimiiko	nn
kibili	num
sibala	nn
ne	conj
sikhesisiikha	v
tawe	adv
.	punct
Mu	ADP
ndaalo	nn
echo	det
Usia	nn
aba	v
omwami	nn
owaba	ADP
Yuda	nn
ne	conj
Yeroboamu	nn
okhwa	pron
Yehoasi	nn
aba	v
omwami	nn
owaba	ADP
Isiraeli	nn
.	punct
Amosi	nn
aloma	v
ali	det
""""	punct
Wele	nn
Omunyali	adj
owaba	ADP
