WORD	POS
maloba	NN
niko	DET
mulikho	V
munyoola	V
khuuba	V
nibio	DET
mukharaamo	V
Tawe	ADV
.	PUNCT
Lundi	CONJ
sili	V
ne	CONJ
Kakenywe	PRON
.	PUNCT
""""	PUNCT
chisebele	NN
nicho	DET
enywe	PRON
mukhaayaba	V
Tawe	ADV
,	PUNCT
nende	CONJ
kamaruuti	NN
ne	CONJ
kimikuunda	NN
Lilaka	NN
liboofu	ADJ
kie	ADP
kimiseituni	NN
nikio	DET
enywe	PRON
mukha	V
""""	PUNCT
Lino	DET
lili	V
lilaka	NN
nilio	DET
Wele	NN
Omunyali	ADJ
biaala	V
Tawe	ADV
.	PUNCT
Wele	NN
Omunyali	ADJ
Owa	ADP
Bioosi	DET
,	PUNCT
Wele	NN
wenywe	PRON
aandaka	V
Bioosi	DET
ne	CONJ
amureera	V
mu	ADP
sibala	NN
Sino	DET
,	PUNCT
ese	PRON
mwiyikie	V
Enywe	PRON
.	PUNCT
Murie	V
kamalaka	NN
mala	CONJ
mulie	V
Mwikure	ADJ
,	PUNCT
12	NUM
mukheebilila	V
kano	DET
ne	CONJ
muli	V
mu	ADP
sibala	NN
nisio	DET
muli	V
siimbi	ADV
Wele	NN
Omunyali	ADJ
Owa	ADP
Bioosi	DET
owamurusia	V
khwingisia	V
mala	CONJ
Mumenyemo	V
.	PUNCT
2	NUM
Enywe	PRON
mu	ADP
Misiri	NN
niio	ADV
mwaba	V
banasioobi	NN
Tawe	ADV
.	PUNCT
ne	CONJ
lisaaye	NN
lienywe	PRON
khe	
murie	V
Wele	NN
13	NUM
Ria	V
Wele	NN
Omunyali	ADJ
Owa	ADP
Bioosi	DET
,	PUNCT
Wele	NN
Omunyali	ADJ
Owa	ADP
Bioosi	DET
,	PUNCT
Wele	NN
wenywe	PRON
,	PUNCT
mukholele	V
ne	CONJ
khumusaaya	V
niye	V
khubirira	V
mu	ADP
khuria	V
kamalaka	NN
kewe	PRON
yeng'ene	PRON
ne	CONJ
khukhwechuba	V
mu	ADP
lisina	NN
koosi	DET
niko	DET
ndikho	V
muelesia	V
Enywe	PRON
.	PUNCT
Liewe	PRON
.	PUNCT
14	NUM
Mukhasaaya	V
bawele	NN
be	ADP
babaa	V
Khola	V
murio	DET
mu	ADP
limenya	NN
lienywe	PRON
Lioo	ADP
ndu	
babaandi	PRON
nibo	V
mumenyile	V
nabo	
si	
nio	DET
Muyindile	V
.	PUNCT
3	NUM
Khwako	DET
Isiraeli	NN
ulila	V
Tawe	ADV
.	PUNCT
15	NUM
Wele	NN
Omunyali	ADJ
Owa	ADP
Bioosi	DET
,	PUNCT
Wele	NN
mala	CONJ
mube	V
barekerefu	NN
khukaria	V
nio	DET
wenywe	PRON
ooli	V
mwinywe	ADP
yuno	DET
ali	V
Wele	NN
mube	V
bulayi	V
lundi	CONJ
nio	V
mutasiikhe	V
lukali	ADJ
we	ADP
Likhendekha	NN
.	PUNCT
Mwaba	V
ne	CONJ
mukhakho	NN
ne	CONJ
mumenya	V
mu	CONJ
sibala	NN
nisio	DET
kamabeele	NN
la	
niko	DET
enya	V
Tawe	ADV
,	PUNCT
alimuambila	V
lirima	NN
ne	CONJ
bubuukhi	NN
biseleetekhanga	
nisio	V
Wele	NN
mala	CONJ
amubunie	V
murure	V
khu	ADP
Sibala	NN
.	PUNCT
Omunyali	ADJ
Owa	ADP
Bioosi	DET
,	PUNCT
Wele	NN
owe	ADP
bakuuka	NN
16	NUM
""""	PUNCT
Mukhara	V
Wele	NN
Omunyali	ADJ
Owa	ADP
benywe	PRON
aamusuubisia	V
Enywe	PRON
.	PUNCT
Bioosi	DET
,	PUNCT
Wele	NN
wenywe	PRON
khwikela	V
nga	CONJ
4	NUM
""""	PUNCT
Isiraeli	NN
Ulila	V
:	PUNCT
Wele	NN
Omunyali	ADJ
Owa	ADP
mwakhola	V
ne	CONJ
muli	V
Masa	
Tawe	ADV
.	PUNCT
17	NUM
Mube	V
Bioosi	DET
,	PUNCT
Wele	NN
Wefwe	PRON
,	PUNCT
ali	DET
Mulala	NN
.	PUNCT
5	NUM
okhoya	V
barekerefu	NN
mu	ADP
khuria	V
kamalaka	NN
ka	ADP
Wele	NN
osiime	V
Wele	NN
Omunyali	ADJ
Owa	ADP
Bioosi	DET
,	PUNCT
Wele	NN
Omunyali	ADJ
Owa	ADP
Bioosi	DET
,	PUNCT
Wele	NN
wenywe	PRON
niko	DET
wowo	PRON
ne	CONJ
kumwoyo	NN
kwowo	PRON
Kwoosi	ADJ
,	PUNCT
ne	CONJ
aamuelesia	V
Enywe	PRON
.	PUNCT
18	NUM
Khola	V
kaali	V
kowo	PRON
Koosi	ADJ
.	PUNCT
6	NUM
Khebulila	V
lundi	CONJ
Kamalayi	ADJ
,	PUNCT
ebweeni	
wa	ADP
Wele	NN
laka	V
niko	DET
ese	PRON
ndikho	V
khuelesia	V
endaalo	NN
Omunyali	ADJ
Owa	ADP
Bioosi	DET
nio	DET
mube	V
Bulayi	V
,	PUNCT
Yino	DET
.	PUNCT
?	PUNCT
Yekisia	V
babaana	NN
bowo	PRON
kamalaka	NN
nio	DET
mwingisie	V
ne	CONJ
khubukula	V
kamaloba	NN
Kano	DET
.	PUNCT
Kalomalome	V
ne	CONJ
wikhaale	V
munju	NN
kamalayi	ADJ
ke	ADP
Kumukabwa	NN
.	PUNCT
Kali	V
kama	
Mwowo	PRON
,	PUNCT
lundi	CONJ
ne	CONJ
olikho	V
okeenda	V
khu	ADP
loba	V
niko	DET
Wele	NN
Omunyali	ADJ
Owa	ADP
Bioosi	DET
Ngila	
,	PUNCT
ne	CONJ
olikho	V
ouluukha	V
lundi	CONJ
ne	CONJ
aasuubisia	V
khuelesia	V
bakuuka	NN
Benywe	PRON
.	PUNCT
olikho	V
okhola	V
Kimilimo	NN
.	PUNCT
Kaboe	V
khu	ADP
19	NUM
Mulaoona	V
basiku	NN
benywe	PRON
baalimo	V
makhono	NN
kowo	PRON
mala	CONJ
okafware	V
Mwiko	NN
-	
Boosi	DET
,	PUNCT
basiku	NN
baali	V
ebweeni	ADV
wenywe	PRON
nga	CONJ
si	
kabe	V
Kakhukhebusia	V
.	PUNCT
Kaandike	V
khu	ADP
Wele	NN
Omunyali	ADJ
Owa	ADP
Bioosi	DET
ne	CONJ
Asuubisia	V
.	PUNCT
lwiikilwowo	NN
ne	CONJ
khu	ADP
bilibwa	NN
Biowo	PRON
Mu	ADP
siise	NN
sisiicha	V
babaana	NN
benywe	PRON
balimureeba	V
enywe	PRON
Bali	V
,	PUNCT
Sifuno	NN
sie	ADP
Engaani	NN
khu	ADP
sileka	NN
kamalaka	NN
kano	DET
sili	V
Siina	
?	PUNCT
Baboole	V
Wele	NN
Omunyali	ADJ
Owa	ADP
Bioosi	DET
,	PUNCT
Wele	NN
le	
Muli	V
Efwe	PRON
khwaba	V
banasioobi	NN
bo	ADP
wenywe	PRON
alikho	V
acha	V
khumuyila	V
enywe	PRON
mwami	NN
Farao	NN
owe	ADP
Misiri	NN
.	PUNCT
Ne	CONJ
kakhali	CONJ
mu	ADP
sibala	NN
nisio	DET
aalaka	V
bakuuka	NN
benywe	PRON
Wele	NN
Omunyali	ADJ
Owa	ADP
Bioosi	DET
aakhureesia	V
Aburahamu	NN
,	PRON
Isaaka	PRON
ne	CONJ
Yakobo	NN
ali	V
Akha	
-	
efwe	PRON
khubirira	V
