WORD	SPEECH TAG
Malaika	NN
owa	ADP
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
e	ADP
Bokimu	NN
Malaika	NN
Owa	ADP
Wele	NN
Omunyali	NN
owa	ADP
Bioosi	NN
Aama	V
e	ADP
Kilikali	NN
Acha	V
Bokimu	NN
mala 	ADP
aboolela	V
Baisraeli	NN
ali	ADP
,	PUNC
""""	PUNC
Namurusia	V
e	ADP
misri	NN
mala	ADP
namureera	V
mu	ADP
sibala	NN
nisio	ADP
nalaka	NN
bakuuka	V
benyewe	
.	
Naboola	
ndi	
,	
""""	
Ese	
se	
ndifunika	
edakaano	
yase	
ne	
nanywe	
tawe	
.	
Mukhakholakho	
endakaano	
yosi	
yosi	
ne	
babandu	
bamenyile	
mu	
sibala	
sino	
tawe	
.	
Mutechule	
ne	
khukhwonaka	
chi	
alutare	
chabwe	
;	
Ne	
kakhali	
se	
mwarite	
lilaka	
liase	
tawe	
.	
Siina	
nisio	
mukholile	
sino	
?	
Nono	
,	
muboolela	
enywe	
ndi	
se	
enja	
khuona	
babaandu	
bano	
barure	
ebweeni	
wenywe	
nga	
ne	
muliba	
ne	
mulikho	
muchiililila	
khuula	
tawe	
.	
Baliba	
basiku	
benywe	
,	
mala	
bawele	
baabwe	
bakhabe	
kumureko	
khwinywe.	
""""	
Nga	
Malaika	
owa	
Wele	
Omunyali	
owa	
Bioosi	
ne	
aloma	
lino	
,babaandu	
ba	
israeli	
Bioosi	
barakikha	
khulia	
.	
Nio	
balaanga	
abuundu	
ao	
bali 	
Bokimu	
.	
Abwenao	
baanilao	
siianwa	
khu	
Wele	
Omunyali	
owa	
Bioosi	
Lifwa	
Lia 	
Yoshua	
Yoshua	
alekhuula	
babaandu	
ba	
israeli	
bache	
,	
mala	
buli	
omundu	
acha	
abukula	
kumukabwa	
kwewe	
kwe 	
kamaloba	
.	
Nga	
Yoshua	
aba	
ne	
asiilio	
omulamu	
,	
Baisraeli	
bakholelanga	
Wele	
Omunyali	
owa	
Bioosi	
Ne	
enyuma	
we	
lifwa	
liewe	
bachiililila	
khukhola	
bario	
nga	
babemeelesi	
babona	
bibiindu	
biboofu	
bioosi	
nibio	
Wele	
Omunyali	
owa	
Bioosi	
aaba	
ne	
akholeele	
isiraeli	
ne	
basiili	
balamu	
.	
Omukholi	
owa	
Wele	
Omunyali	
owa	
Bioosi	
,	
Yoshua	
okhwa	
Nuni	
,	
afwa	
ne	
ali	
ne	
bukhulu	
bwe	
kimiiko	
