BUKUSU ANNOTATION 10	
WORD	POS
OMUJUMBE	NN
WA	ADP
KABUCHAI	NN
OMWAMI	NN
MAJIMBO	NN
KALASINGA	NN
ALANGILILE	V
BABEKESIA	NN
BAKHULU 	ADJE
MUBISOMELO	NN
BIE	ADP
KHABILI	NUM
KHUKHWIYAMA	V
BASOMI	NN
BAKHACHA 	V
KHUBA	V
NE	PUNCT
CHURUPIA	NN
CHOSI	ADJE
CHE	ADP
KAMASOMO	NN
ENDALO	NN
YA	ADP
MUCHULI	ADV
NGA	CONJ
BASOMI	NN
BABAKEL	V
.	PUNCT
KAMAREBA	NN
KE	ADP
EKELASI	NN
YA	ADP
MUNANE	NUM
KCPE	X
KUMWIKO	NN
KUNO	DET
NEBACHA	V
KHWITUBA	V
MUBISOMELO	NN
EBIO	PRON
.	PUNCT
NALOMALOMA	V
MU	ADP
MULUKHA	NN
KWE	ADP
KHUANA	V
CHIRUPIA	NN
KHUBASOMI	NN
BABAMA	ADP
MUNGO	NN
CHIKHENYALA	ADJE
MWISASA	NN
LIEWE	PRON
BUJUMBE 	NN
LIA	ADP
KABUCHAI	NN
KURENGEKHWE	V
MUBIKUKA	NN
BIA	ADP
CDF	X
EMUSESE	NN
OMWAMI	NN
KALASINGA	NN
AMAKHUBOLA 	V
ALI	ADP
ALACHILILA	V
KHUAMBANAKHO	V
NENDE	CONJ
CHINJEKO	NN
BOSI	ADJE
MUMBEKA	NN
ECHO	PRON
KHUBONA	V
MBO	PRON
BABANA	NN
BAKESI	ADJE
BABAMA	NN
MUNJIBULO	NN
CHIKHENYALA	PRON
BACHILILAKHO	V
NENDE	CONJ
KAMASOMO	NN
KABWA	ADP
MUBISOMELO	NN
BIE	ADP
KHABILI	NUM
	
MAJIMBO	NN
LUNDI	ADV
AMAKHULUMIKHIRA	V
BISE	ADV
EBIO	PRON
KHUNYANYA	V
LIRAFU	ADV
KHUBANA	NN
BASOMI	NN
BACHA	V
KHURAKIKHA	V
SITULUNGU	 NN
MUBISOMELO	NN
NE	C0NJ
KHUBOLA	V
ALI	 CONJ
SIKUKA	NN
SIA	ADP
CDF	X
ALALA	ADV
NENAYE	PRON
SEBACHA	V
KHURUNGIRAKHO	V
OMUSOMI	NN
NGA	C0NJ
OYO	PRON
CHIRUPIA	NN
CHE	ADP
KAMASOMO	NN
TAWE	ADJ
.	PUNCT
AMAKHUREBA	V
BASOMI	NN
BABAMAKHUNYOLA 	V
CHIRUPIA	NN
ECHO	PRON
KHURA	V
SINANI	ADJ
MUMASOMO	NN
KABWE	PRON
	
NALOMALOMA	V
MUMULUKHA	NN
OKWO	DET
LUKONGO	NN
WA	ADP
MUKUYUNI	NN
OMWAMI	NN
ELIUD	NN
WANYONYI	NN
AMAKHULANGILILA	V
BABEBUSI	NN
KHULELA	V
BABEBUSIBANA	ADJE
BABWE	PRON
MWIBA	ADP
LILAYI	ADV
KHUKHINGILILAKHO	V
BISOMBO	NN
BIE	ADP
KHUKHWINYOELA	ADV
MUBANA	NN
BAKHANA	NN
ALALA	ADV
NENDE	CONJ
BIKHOLWA	V
BI	CONJ
MAYANU	ADJ
MUBANA	NN
BASOLELI	NN
.	PUNCT
