WORD	SPEECH TAG
BAABIYA	NN
BAALA 	NN
BAABANGURA	ADJ
BAALA 	NN
BALUBIRI	ADJ
BAALA BAKOYABE	NN
BAKOYABE	ADJ
BAAFU	NN
BABAASABA	NN
BABAAMANGA	NN
BABAMBO	NN
BABAAMBOCHA	NN
BABANGACHI	NN
BABENGE	NN
BABICHU	NN
BABICHACHI	NN
BABIKALA	NN
BABURIRE	NN
BABUUTU	NN
BABUYA 	NN
BAHAMBWA	ADJ
BABUYA 	NN
BAHOLO	ADJ
BABUYA 	NN
BAKABO	ADJ
BABUYA 	NN
BAKHUFWE	ADJ
BABUYA 	NN
BAMWONJA	ADJ
BABUYA 	NN
BASIKULU	ADJ
BABUULO 	NN
BABATELEMA	ADJ
BABUULO	NN
BANABUKHISA	ADJ
BABUULO 	NN
BANAKOYONJO	ADJ
BABUULO 	NN
BAWESWA	ADJ
BABUUTU	NN
BABWOBA 	NN
BATUTA	ADJ
BABWOBA 	NN
BANAKHULUNDU	ADJ
BABWOBA 	NN
BASIABULILI	ADJ
BABWOBA 	NN
BATUTA	ADJ
BABWOBA 	NN
BANANYENJE	ADJ
BACHAMBACHI	NN
BACHANGO	NN
BACHARIA[ BAMACHARIA]	NN
BACHOE	NN
BACHEMAYI	NN
BACHEMWILE	NN
BACHESOLI	NN
BACHIBINO	NN
BAECHALO 	NN
BAMINYI	ADJ
BAECHALO  	NN
BACHEBASA	ADJ
BAECHALO 	NN
BANAKHUNGU	ADJ
BAECHALO 	NN
BAMANYONGE	ADJ
BAEMBA	NN
BAENGELE	NN
BAFULO	NN
BAFUMBULA	NN
BAFUUMI	NN
BAILIFUMA	NN
BAHABIYA	NN
BAHUMA	NN
BALAKO 	NN
BABAMWEYE	ADJ
BALAKO 	NN
BAKHANDIA	ADJ
BALAKO 	NN
BAKELO	ADJ
BALAKO 	NN
BASIAMBO	ADJ
BALANDA	NN
BALENDE	NN
BALEYI	NN
BALINDO	NN
BALIANGO	NN
BALIISA	NN
BALIULI	NN
BALUU	NN
BALUCHWATA	NN
BALUMELA	NN
BALUNDA	NN
BALONJA 	NN
BANAWANGA	ADJ
BALONJA 	NN
BAKHEYANA	ADJ
BALONJA 	NN
BAKUTOYO	ADJ
BALONJA 	NN
BAMUSABI	ADJ
BAKAFISI	NN
BAKALASI	NN
BAKANGALA	NN
BAKAMUKONG'I	NN
BAKAMUTEBI	NN
BAKEMBE	NN
BAKIBWABI	NN
BAKIBETI	NN
BAKIKAYI	NN
BAKIPEMULI	NN
BAKINISU	NN
BAKISEBE	NN
BAKIYABI	NN
BAKHALI	NN
BAKHAYABI	NN
BAKHANYWINYWI	NN
BAKHWAMI	NN
BAKHEKHE	NN
BAKHELENGE	NN
BAKHIISA	NN
BAKHOMA	NN
BAKHONE	NN
BAKHONJO	NN
BAKHURARWA	NN
BAKIYABI 	NN
BABIKEYO	ADJ
BAKIYABI 	NN
BALIKIYWA	ADJ
BAKIYABI 	NN
BANELIMA	ADJ
BAKOBELO	NN
BAKOBOLO	NN
BAKOKHO	NN
BAKOLATI	NN
BAKONGOLO	NN
BAKOYI	NN
BAKWANGWACHI	NN
BAKWAYA	NN
BAKUTA	NN
BAKUSI	NN
BAKUUNGA	NN
BAMAANDALI	NN
BAMAAKITA	NN
BAMAESO	NN
BAMAKAMBO	NN
BAMAKHANGA	NN
BAMAKHULI	NN
BAMAKINA	NN
BAMALICHA	NN
BAMARAKARU	NN
BAMASIKE	NN
BAMEME	NN
BMIISO	NN
BAMOYAYO	NN
BAMUFUMI	NN
BAMULUNDI	NN
BAMUNAA	NN
BAMUHONGO	NN
BAMUKI	NN
BAMUKOYA	NN
BAMULULU	NN
BAMULUNDU	NN
BAMURUBA	NN
BAMUSOMI 	NN
BAMAHE	ADJ
BAMUSOMI 	NN
BASOMI	ADJ
BAMUSOMI 	NN
BASIUMA	ADJ
BAMUSOMI 	NN
BAMABECHU	ADJ
BATOBOSA	ADJ
BAMUSOMI 	NN
BAMASIUKHA	ADJ
BAMUSOMI 	NN
BATUNGUYA	ADJ
BAMUSOMI 	NN
BAMABECHU	ADJ
BAMUSOMI 	NN
BAYASERE	ADJ
BAMUKI	NN
BAMULIKA	NN
BAMUYONGA	NN
BAMWEYA[ BAMWAYA] 	NN
BAMWALO	ADJ
BAMWEYA [ BAMWAYA] 	NN
BENGAKI	ADJ
BAMWIIMA	NN
BANANJOFU	NN
BANANG'UNDA	NN
BANASAKA	NN
BANYANGALI	NN
BANYWAKA	NN
BANG'ALE	NN
BANG'OMA	NN
BARAKI	NN
BAREFU	NN
BASAAKHA	NN
BASAKALI	NN
BASAKWA	NN
BASAMBA	NN
BASANG'ALO	NN
BASAMO	NN
BASAYA	NN
BASAMU[ BASMO]	NN
BASEFU	NN
BASKEKESE	NN
BASYENA	NN
BASIANAKA	NN
BASIBACHO	NN
BASICHONGOLI	NN
BASIHONDO	NN
BASIMAOLA	NN
BASIME	NN
BASIMISI	NN
BASIBENDE	NN
BASILOLI	NN
BASIKULA	NN
BASITUYI	NN
BASIOMBO	NN
BASIOYA	NN
BASOMBI	NN
BSONGE	NN
BASWUHU	NN
BATA	NN
BATASAMA	NN
BATAKHWE	NN
BATANYI	NN
BATECHO	NN
BATEMULANI	NN
BATILU[ BAMUTILU]	NN
BATINDUI	NN
BATINGA	NN
BATOBO	NN
BATOLOMETI	NN
BATUKWIKA 	NN
BALULETI	ADJ
BATUKWIKA 	NN
BAKITANG'A	ADJ
BATUKWIKA 	NN
BANAMBOBI	ADJ
BATUKWIKA 	NN
BASAKHA	ADJ
BATUKWIKA 	NN
BALUCHEKE	ADJ
BATURA	NN
BAUMA	NN
BAUMBA	NN
BAUNDU	NN
BAUSI	NN
BAWAMBWA	NN
BAWANDIAMBI	NN
BAWABUYA	NN
BAWASIO	NN
BAWASWA	NN
BAWELE	NN
BAWAYILA 	NN
BAYAYA	NN
BAYEMBA 	NN
BAKHAYAMA	ADJ
BAYEMBA 	NN
BASAYA	NN
BAYIMA 	NN
BAYIITU	NN
BAYUMBU	NN
BAYUNDO	NN
