WORD	SPEECH TAG
Enyuma	ADV
we	ADP
lifwa	NN
lia	ADP
Yoshua	NN
,	PUNC
Baisraeli	NN
bareeba	V
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
bali	ADP
,	PUNC
""""	PUNC
kholo	NN
siina	ADP
khu	ADP
kholo	NN
chefwe	DET
elaba	V
eye	ADP
khunyoa	V
khucha	V
khukhwibwaakala	V
Bakanaani	NN
?	PUNC
""""	PUNC
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
akobosia	V
ali	ADP
,	PUNC
""""	PUNC
ekholo	NN
eya	ADP
Yuda	NN
niyo	ADP
elanyoa	V
eche	V
.	PUNC
Ndikho	V
mbaa	V
sibaba	NN
esio	DET
sibe	V
mu	ADP
bunyali	NN
bwewe	DET
.	PUNC
""""	PUNC
Babaandu	NN
ba	ADP
Yuda	NN
baboolela	V
babaandu	NN
ba	ADP
Simioni	NN
bali	ADP
,	PUNC
""""	PUNC
Yicha	V
khuche	V
ne	ADP
nanywe	PRON
mu	ADP
maloba	NN
niko	ADP
bakhueele	V
efwe	DET
,	PUNC
mala	ADP
mukhuyeete	V
khupane	V
ne	CONJ
Bakanaani	NN
.	PUNC
Ne	CONJ
fwesi	PRON
khukhache	V
khumuyeete	V
khukhupanila	V
kmaloba	NN
keenywe	DET
.	PUNC
""""	PUNC
Nio	ADP
chikholo	NN
cha	ADP
Simioni	NN
ne	CONJ
Yuda	NN
chacha	V
mwiie	NN
alala	ADP
.	PUNC
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
abaa	V
bukhili	NN
khu	ADP
Bakanaani	NN
ne	CONJ
Baperisi	NN
mala	ADP
baula	V
babaandu	NN
chielefu	ADJ
likhumi	ADJ
Beseki	NN
.	PUNC
Ebeseki	NN
banyoolayo	V
Atonibeseki	NN
omwami	NN
we	ADP
lukoba	NN
mala	ADP
bapana	V
ne	CONJ
naye	PRON
.	PUNC
Ne	CONJ
abwenao	ADP
baulila	V
elala	ADV
Bakanaani	NN
ne	CONJ
Baperisi	NN
.	PUNC
Atonibeseki	NN
elukha	V
ne	CONJ
bamutimania	V
,	PUNC
bamuaamba	V
,mala	ADP
bamukhala	V
chinjala	NN
chikhuumwa	ADJ
che	ADP
khu	ADP
makhona	NN
ne	CONJ
khu	ADP
bikele	NN
.	PUNC
Atonibeseki	NN
aloma	V
ali	ADP
,	PUNC
""""	PUNC
Babaami	NN
kamakhumi	ADJ
saba	ADJ
babakhalwa	V
chinjala	NN
chikhuumwa	ADJ
che	ADP
khu	ADP
makhono	NN
ne	CONJ
chinjala	NN
chikhuumwa	ADJ
che	ADP
khu	ADP
bikele	NN
bangalaanga	V
bitonyi	NN
bie	ADP
biakhulia	NN
bibiakwichanga	V
asi	ADP
asialwa	NN
siase	DET
.	PUNC
Luno	ADP
,	PUNC
Wele	NN
akholeele	V
ese	PRON
niko	ADP
nabakholela	V
.	PUNC
""""	PUNC
Abukulwa	V
ayilwa	V
Yerusalemu	NN
mala	ADP
afwilayo	V
.	PUNC
Ekholo	NN
eya	ADP
Yuda	NN
eula	V
Yerusalemu	NN
ne	CONJ
Heburoni	NN
Babaandu	NN
ba	ADP
Yuda	NN
bebwakaaala	V
lukoba	NN
lwa	ADP
Yerusalemu	NN
mala	ADP
babukula	V
.	PUNC
Beera	V
babandu	NN
balwo	DET
ne	CONJ
khulwosia	V
.	PUNC
Enyuma	ADP
we	ADP
khukhwosia	V
lukoba	NN
luno	DET
,	PUNC
bacha	V
khu	ADP
khuupana	V
