BUKUSU ANNOTATION 5	
OMWIMELESI	NN
WE	PREP
KUMUKANDA	NN
KWA	PREP
ODM	NN
RAILA	NN
ODINGA	NN
NONO	ADV
ABOLA	V
ANYUMA	ADV
WE	ADV
KHUFUNWA	V
KHWE	PREP
BUAMBANI	NN
BWE	PREP
KIMIKANDA	NN
BWA	PREP
NASA	NN
,	PUNCT
BABABA	PRON
BABEMELESI	NN
MUBUAMBANI	NN
OBWO	PRON
NALIMO 	ADV
NIYE	PRON
,	PUNCT
MOSES 	NN
WETANGULA	NN
,	PUNCT
KALONZO	NN
MUSYIKO	NN
NENDE	CONJ
MUSALIA	NN
MUDAVADI	NN
BARAKIKHE	V
CHINDENGEKHA	NN
CHE	PREP
KHUKHOLA	V
LIKACHULA	V
LIE	PREP
KHUNGONA	V
BUAMBANI	NN
BUYAKHA	ADJ
.	PUNCT
	 
NALOMALOMA	V
MUMULUKHA	NN
KWE	PREP
LIYABILA	NN
LIO	PREP
OMUKHAYE	NN
WO	PREP
OMULONDOLA	NN
WA	PREP
GAVANA	X
WE	PREP
EKAUNTI	NN
YA	PREP
VIHIGA	NN
,	PUNCT
DAKTA	NN
PATRICK	NN
SAIS	NN
,	PUNCT
RAILA	NN
AMAKHUBOLA	V
ALI	CONJ
LINYALIKHA	ADJE
BABEMELESI	NN
ABO	PRON
BEYAMA	V
KHUAMBANA	V
NE	CONJ
KHURAKIKHA	V
BUAMBANI	NN
BWA	PREP
ONE	NUM
KENYA	NN
ALLIANCE	X
-	PUNCT
OKA	X
EBWENI	ADV
WE	PREP
BUROBOSI	NN
BUKHONGO	ADJ
KUMWIKO	NN
KUKWICHA	ADV
	
RAILA 	NN
AMAKHUBOLA	V
ALI	DET
BAJUMBE	NN
BA	PREP
ODM	X
KHUKHWAMA	PREP
MUMBEKA	NN
CHOSI	ADJE
MWIRAMBO	NN
BACHA	V
KHURENGEKHA	V
KIMIKHUNGANO	NN
KIABWE	PRON
NIO	ADV
MBO	DET
BARUSIE	V
LIKHUWA	NN
LILALA	NUM
LICHA	V
KHUMUESIA	V
BULEKHULE	NN
BWE	PREP
KHUTUBANA	V
ALALA	ADV
NENDE	CONJ
BABEMELESI	NN
BABANDI	PRON
EBWENI	ADV
WE	PREP
BUROBOSI	NN
BUKHONGO	ADJE
BUBWICHA	V
.	PUNCT
