WORD	POS
Omunyali 	ADJ
Owa 	ADP
Bioosi 	DET
ne 	CONJ
akhulaka	V
.	PUNCT
' 	PUNCT
7	NUM
""""	NUM
Khebulila 	CONJ
nga 	CONJ
Wele 	NN
Omunyali 	ADJ
Owa 	ADP
Nono 	
buli 	DET
mulala 	PRON
khwinywe 	PRON
erekekha 	V
Bioosi	DET
, 	PUNCT
Wele 	NN
wenywe 	PRON
ne 	V
amubiita 	V
enywe 	PRON
ne 	CONJ
bulwaani 	NN
bwewe 	PRON
khulwe 	CONJ
liie	NN
. 	PUNCT
Mwe	
- 	PUNCT
chikhabi 	NN
mu 	ADP
buli 	ADJ
siindu 	NN
nisio 	PRON
mwakhola	V
, 	PUNCT
baasia 	ADJ
muli 	V
liaba 	V
liliangu 	ADJ
khukhwingila 	V
Aamuliindile 	V
enywe 	PRON
nga 	ADP
mwabirire 	V
mu 	ADP
sibala 	NN
sie 	ADP
bikulu	NN
. 	PUNCT
1200	NUM
We 	X
will 	X
sichiimi 	NN
sibalaayi 	ADJ
sino	DET
. 	PUNCT
Wele 	NN
Omunyali 	ADJ
42	NUM
""""	PUNCT
Ne 	CONJ
Wele 	NN
Omunyali 	ADJ
Owa 	ADP
Bioosi 	DET
, 	PUNCT
Wele 	NN
wenywe 	PRON
abele 	V
ne 	CONJ
amboolela 	V
ali	DET
, 	PUNCT
'	PUNCT
Baboolele 	V
Ali 	DET
mukhacha 	V
nanywe 	PRON
khulwe 	ADJ
kimiiko 	NN
kamakhumi 	NN
mwebwaakala 	V
namwe 	CONJ
mwapana 	V
tawe 	ADV
kane 	NN
kino	DET
. 	PUNCT
Se 	
mwatambilekho 	V
sisiindu 	NN
sikila 	ADJ
ese 	PRON
sendi 	ADJ
ne 	CONJ
nanywe 	PRON
tawe	ADV
. 	PUNCT
Basiku 	
siosi 	ADJ
tawe	ADV
. 	PUNCT
benywe 	PRON
balamubunia 	V
enywe	PRON
.	PUNCT
' 	PUNCT
43	NUM
Nono 	CONJ
ese 	PRON
8	NUM
“	PUNCT
Khwako 	DET
khwachiililila 	V
ne 	CONJ
lukee 	NN
namuboolela 	V
enywe 	PRON
ne 	CONJ
se 	ADP
mwarekeere	V
- 	PUNCT
ndo 	
khwabira 	V
busa 	ADV
khu 	ADP
balebe 	NN
befwe 	PRON
sia 	ADP
tawe	ADV
. 	PUNCT
Ne 	CONJ
Kakhali	V
, 	PUNCT
mwalekelesia 	V
lilaka 	NN
be 	
lisaaye 	NN
lia 	ADP
Esau 	NN
ba 	
baamenya 	V
Edomu 	NN
lia 	
Wele 	NN
Omunyali 	ADJ
Owa 	ADP
Bioosi	DET
. 	PUNCT
Mwaba 	V
ne 	CONJ
khwayukha 	V
khwalekha 	V
kumuyila 	NN
lilielola 	ADJ
mala 	CONJ
mwacha 	V
mu 	ADP
sibala 	NN
sie 	ADP
bikuLU	NN
- 	PUNCT
Khukhwama 	ADP
Elati 	NN
ne 	CONJ
Esioni-geberi 	NN
mala 	CONJ
lu	
. 	PUNCT
44	NUM
Nio 	DET
Baamori 	NN
bamenyanga 	V
mu 	ADP
khwalola 	V
lubeka 	NN
lwe 	ADP
mu 	ADP
sichiimi 	NN
sia 	ADP
sibala 	NN
sie 	ADP
bikulu 	NN
esio 	DET
barura 	V
khukhupa	V
- 	PUNCT
Moabu	NN
. 	PUNCT
'	PUNCT
Wele 	NN
Omunyali 	ADJ
Owa 	ADP
Bioosi 	DET
ne 	CONJ
nanywe	PRON
. 	PUNCT
Bamutimania 	V
oli 	ADP
enjukhi 	NN
amboolela 	V
ali	DET
, 	PUNCT
'	PUNCT
Mukhanania 	V
babaandu 	NN
ne 	CONJ
mutimania 	V
mala 	CONJ
banuula 	V
khukhwa	V
- 	PUNCT
ba 	ADP
Moabu	NN
, 	PUNCT
namwe 	CONJ
mwapana 	V
ne 	CONJ
nabo 	PRON
Edomu 	NN
khukhwola 	ADJ
e 	ADP
Horima	NN
, 	PUNCT
45	NUM
Ne 	CONJ
tawe 	ADV
kabe 	V
kario 	DET
sikila 	CONJ
ese 	PRON
se 	PRON
ndamuele 	V
enywe 	PRON
mwakobola 	V
mala 	CONJ
mwalilila 	V
siakho 	NN
enywe 	PRON
kamaloba 	NN
kabwe 	PRON
kosi 	ADJ
kosi 	ADJ
Wele 	NN
Omunyali 	ADJ
Owa 	ADP
Bioosi 	DET
ne 	CONJ
se 	
aaula	V
- 	PUNCT
Tawe	ADV
. 	PUNCT
Naelesia 	V
lukoba 	NN
lwa 	ADP
Ari 	DET
khu 	ADP
lisaaye 	NN
la 	
namwe 	CONJ
arekeeresia 	V
kakenywe 	PRON
tawe	ADV
. 	PUNCT
lia 	PRON
Loti 	NN
nga 	ADP
kumukabwa	NN
.	PUNCT
'	PUNCT
Wiskunde	X
46	NUM
Nono 	CONJ
mwarama 	V
e 	ADP
Kadeshi 	NN
khulwe 	CONJ
siise 	NN
10	NUM
""""	PUNCT
(	PUNCT
Ekholo 	NN
eye 	ADP
babaandu 	NN
be 	ADP
kamaa 	
sileeyi 	ADJ
nisio 	PRON
mwamenyayo	V
. 	PUNCT
The 	X
ni 	X
lundi 	ADV
baboofu 	ADJ
lukali	ADJ
, 	PUNCT
balaangwa 	V
bali 	ADV
Baemi 	NN
bamenyanga 	V
mu 	ADP
lukoba 	NN
Ari	NN
. 	PUNCT
Kimiiko 	NN
kie 	ADP
mu 	ADP
sichiimi 	NN
Baba 	V
baleeyi 	ADJ
busa 	CONJ
nga 	ADP
Baanakimu	NN
. 	PUNCT
Baa 	
“	PUNCT
Nio 	DET
khwacha 	V
mu 	ADP
sichiimi 	NN
lubeka 	NN
nakimu 	NN
eli 	V
e 	
kholo 	NN
ekiindi 	PRON
eye 	ADP
babaandu 	NN
4	NUM
lwe 	ADP
enyanja 	NN
eya 	ADP
shamu 	NN
nga 	ADP
Wele 	NN
baboofu 	ADJ
lukali	ADJ
. 	PUNCT
11	NUM
Nga 	ADP
Baanakimu	NN
, 	PUNCT
Baemi 	NN
Omunyali 	ADJ
Owa 	ADP
Bioosi 	DET
ne 	CONJ
amboolela	V
. 	PUNCT
Ne 	CONJ
bosi 	PRON
bamanyikhana 	V
bali 	V
Barefaimu	NN
, 	PUNCT
ne 	CONJ
khulwe 	CONJ
chindaalo 	NN
chingali 	ADJ
khwabotoo	V
- 	PUNCT
kakhali 	CONJ
Bamoabu 	NN
babalanganga 	V
bali 	ADV
khelela 	V
sikulu 	NN
sia 	ADP
Edomu	NN
. 	PUNCT
Si 	
Baemi	
. 	PUNCT
12	NUM
Baori 	NN
bosi 	DJ
bamenyanga 	V
mu 	ADP
2	NUM
""""	PUNCT
Nio 	DET
Wele 	NN
Omunyali 	ADJ
Owa 	ADP
Bioosi 	DET
