WORD	SPEECH TAG
Kumwenya	NN
kwa	ADP
Debora	NN
ne	CONJ
Baraka	NN
Nio	ADP
Debora	NN
ne	CONJ
Baraka	NN
okhwa	ADP
Abinoamu	NN
bemba	V
Kumwenya	NN
khundaalo	NN
eyo	DET
bali	ADP
,	PUNC
Babemeelesi	NN
barangirira	V
babaandu	NN
mu	ADP
Isiraeli	NN
nio	ADP
babaandu	NN
beaana	V
babeene	DET
.	PUNC
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
afume	V
!	PUNC
Ulila	V
,	PUNC
Ee	PRON
baami	NN
;	PUNC
rekeeresia	V
,	PUNC
Ee	PRON
Bakhulu	NN
;	PUNC
khundaalo	NN
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
ndemba	V
,	PUNC
ndemba	V
Kumwenya	NN
khu 	ADP
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
,	PUNC
Wele	NN
owe	ADP
Baisiraeli	NN
.	PUNC
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
,	PUNC
nga	ADP
newaama	V
mu	ADP
bikulu	NN
bie	ADP
seiri	NN
,	PUNC
nga	ADP
newaama	V
mu	ADP
sibala	NN
sia	ADP
Edomu	NN
liloba	NN
liaterema	V
,	PUNC
mala	ADP
efula	NN
yakwa	V
,	PUNC
Yee	ADP
,	PUNC
kamafuumbi	NN
kachukha	V
kameechi	NN
.	PUNC
Bikulu	NN
biaterema	V
,	PUNC
ebweeni	ADP
wa 	ADP
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
,	PUNC
niye	DET
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
Owa	ADP
Sinai	NN
,	PUNC
Wele	NN
owe	ADP
Baisiraeli	NN
Mu	ADP
ndaalo	NN
cha	ADP
Siamukari	NN
,	PUNC
okhwa	ADP
Anati	NN
,	PUNC
mu	ADP
ndaalo	NN
cha	ADP
Yaeli	NN
,	PUNC
kimiila	NN
kiawa	V
,	PUNC
ne	CONJ
bakeendi	NN
batalaandilanga	V
khu	ADP
ngila	NN
che	ADP
khundulo	NN
.	PUNC
Bukhili	NN
bwawa	V
,	PUNC
bwawa	V
mu	ADP
Isiraeli	NN
,	PUNC
khukhwola	ADP
nga	ADP
maayi	NN
owe	ADP
Baisiraeli	NN
.	PUNC
Nga	ADP
ne	ADP
barobora	V
bawele	NN
bayia	ADJ
,	PUNC
liie	NN
liaba	V
mu	ADP
bilibwa	NN
.	PUNC
Engabo	NN
namwe	CONJ
lifumo	NN
biabonekhakho	V
mu	ADP
baandu	NN
chielefu	ADJ
arubaine	ADJ
mu	ADP
Isiraeli	NN
?	PUNC
kumwoyo	NN
kwase	DET
kuli	V
alala	ADV
ne	ADP
banamae	NN
bakhulu	ADJ
Baisiraeli	NN
,	PUNC
babeaana	V
babeene	DET
khukhwama	ADP
mu	ADP
baandu	NN
.	PUNC
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
afume	V
!	PUNC
Kaboole	V
,	PUNC
enywe	PRON
mukendeendela	V
khu	ADP
punda	NN
chiwaanga	ADJ
,	PUNC
enywe	PRON
mumwikhalila	V
kamasisinwa	NN
kamalayi	ADJ
,	PUNC
ne	CONJ
nanywe	PRON
mubira	V
khu	ADP
ngila	NN
.	PUNC
Rekeeresia	V
!	PUNC
kumumilo	NN
kwe	ADP
babaandu	NN
balikho	V
beemba	V
a	ADP
sebele	NN
che	ADP
kameechi	NN
,	PUNC
abwenao	PRON
baboola	V
bikholwa	NN
b ie	ADP
bukhili	NN
bwa 	ADP
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
,	PUNC
bukhili	NN
bwe	ADP
Baisiraeli	NN
!	PUNC
Nio	ADP
babaandu	NN
ba	ADP
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
bakeenda	V
boola	V
khu	ADP
bilibwa	NN
biabwe	DET
.	PUNC
Yinyokha	V
Yinyokha	V
Debora	NN
!	PUNC
Yinyokha	V
yimba	V
Kumwenya	NN
,	PUNC
Yinyokha	V
!	PUNC
Yinyokha	V
Baraka	NN
,	PUNC
okhwa	ADP
Abinoamu	NN
,	PUNC
yimeelela	V
baambe	NN
be 	ADP
mwiie	NN
bowo	DET
!	PUNC
Nio	ADP
babalekhwa	NN
bekhwa	ADJ
beecha	V
khu	ADP
baandu	NN
be	ADP
afuma	V
,	PUNC
babaandu	NN
ba	ADP
Wele	NN
Omunyali	NN
Owa	ADP
Bioosi	NN
beekha	V
becha	V
khwise	DET
,	PUNC
baula	V
babaandu	NN
be	ADP
efuma	NN
.	PUNC
Becha	V
khukhwama	ADP
Efuraimu	NN
bekha	V
mu	ADP
litooma	NN
,	PUNC
enyuma	ADP
we 	ADP
ekholo	NN
eya	ADP
Benjamini	NN
ne	CONJ
balebe	NN
bayo	DET
.	PUNC
Banamae	NN
bakhulu	ADJ
bakeenda	V
bekha	V
khukhwama	ADP
e	ADP
Makiri	NN
,	PUNC
ne	CONJ
basuti	NN
be	ADP
siimbo	NN
yo	ADP
mwimeelesi	NN
baama	V
e	ADP
Sebuluni	NN
Babemeelesi	NN
ba	ADP
Isakari	NN
becha	V
ne	CONJ
Debora	NN
ekholo	NN
eya	ADP
Isakari	NN
yaba	V
eyeyikinwa	V
khu	ADP
Baraka	NN
.	PUNC
Baatima	V
bacha	V
mwitooma	NN
ne	CONJ
baloonda	V
khu	ADP
Baraka	NN
,	PUNC
mu	ADP
kholo	NN
eya	ADP
Rubeni	NN
.	PUNC
Liabamo	V
lireeberesia	NN
likali	ADJ
mu	ADP
miooyo	NN
!	PUNC
Sikila	ADJ
siina	NN
ne	ADP
mwekhalamu	V
matuuli	NN
ke	ADP
kamakheese	NN
?	PUNC
Khurekeeresia	V
babaapa	V
kumulele	NN
kulaanga	V
lituuli	NN
lie	ADP
kamakheese	NN
?	PUNC
Mu	ADP
kholo	NN
eya	ADP
Rubeni	NN
,	PUNC
Liabamo	NN
lilireeberesia	V
liboofu	ADV
mu	ADP
miooyo	NN
!	PUNC
Kileati	NN
amenya	V
ebukwe	NN
Owa	ADP
Yoritani	NN
.	PUNC
Ne	CONJ
Dani	NN
,	PUNC
sikila	ADJ
siina	NN
ne	ADP
ekhala	V
sia 	ADP
meeli	NN
?	PUNC
Asieri	NN
ekhala	V
nasilile	V
khu	ADP
sikiingi	NN
sie	ADP
enyanja	NN
,	PUNC
mala	ADP
aliindilila	V
a	ADP
mafubukho	NN
keewe	DET
.	PUNC
Babaandu	NN
ba	ADP
Sebuluni	NN
nende	CONJ
ba	ADP
Nafutali	NN
beaana	V
bulamu	NN
bwabwe	DET
abuundu	NN
aesuta	V
angaaki	ADV
mu	ADP
lukoongo	NN
.	PUNC
Babaami	NN
becha	V
bapana	V
,	PUNC
bapana	V
ne	CONJ
babaami	NN
ba	ADP
kanaani	NN
,	PUNC
a	ADP
Taanachi	NN
ambi	ADV
ne	ADP
kameechi	NN
ka	ADP
makito	NN
.	PUNC
Bapana	V
ne	CONJ
se	ADP
banuula	V
efwesa	NN
bacha	V
ne	ADP
nayo	PRON
tawe	DET
.	PUNC
Ching'enieesi	NN
che	ADP
mwikulu	NN
chapana	V
,	PUNC
Mu	ADP
mbilo	NN
chabwe	DET
chapana	V
ne	CONJ
Sisera	NN
