WORD	SPEECH TAG
NGA	ADP
EYI	ADP
BASOMI	NN
BABAKELA	V
KAMAREBA	NN
KE	ADP
EKILASI	NN
YA	ADP
MUNANE	ADJ
KCPE	NN
NEBARAKIKHA	V
KHUKHWITUBA	V
MUKILASI	NN
YA	ADP
9	DET
MUBISOMELO	NN
BIE	ADP
KHABILI	DET
ENDALO	NN
YA	ADP
LUNO	DET
,	PUNCT
OMUSOMI	NN
MULALA	DET
WABA	V
OMUKHULU	ADJ
LUKALI	DET
MUSISOMELO	NN
SIE	ADP
KHURANGA	DET
SIA	ADP
MUNDERE	NN
MWISASA	NN
LIE	ADP
BUJUMBE	NN
LIA	ADP
BUDALANGI	NN
MUKAUNTI	NN
YA	ADP
BUSIA	NN
WAKELA	V
KAMAREBA	NN
AKO	DET
NEBARAKIKHA	V
KHUNYOLA	V
KAMAKISI	NN
322	DET
ATIBISIE	V
LISUBILA	NN
LIE	ADP
KHUKHWITUBA	V
MUKILASI	NN
YA	ADP
9	DET
KHUKHWAMANANA	CONJ
NEBARAKIKHA	V
BUMANANI	NN
BWE	ADP
LULWIBULO	NN
LWEWE	DET
KHUTAMBA	V
CHIRUPIA	NN
.	PUNCT
NALOMALOMA	V
KHUBANAMAKHWA	NN
NALI	ADP
MUSISOMELO	NN
ESYO	DET
BONFACE	NN
OPIYO	NN
WE	ADP
KIMIKO	ADJ
38	DET
AMAKHUBOLA	V
ALI	ADP
WAKANA	ADP
KAMAKORO	NN
KEWE	DET
KE	ADP
KHUKHWITUBA	V
MUSISOMELO	NN
SIE	ADP
KHABILI	ADJ
SIA	ADP
JOHN	NN
OSOGO	NN
ALALA	CONJ
NEBARAKIKHA	V
MWISOMELO	NN
LIBOFU	ADJ
KACHA	V
KHUFUBA	V
NIBA	ADP
SACHA	V
KHUNYOLA	V
BUYETI	NN
BWE	ADP
CHIRUPIA	NN
CHICHIMELELA	V
KUMURUNGO	NN
KWE	ADP
KAMASOMO	NN
TAWE	ADP
.	PUNCT
NALOMALOMA	V
OMUSOMESIA	NN
OMUKHULU	NN
MUSISOMELO	NN
SIE	ADP
KHURANGA	ADJ
SIA	ADP
MUNDERE	NN
MICHAEL	NN
JUMA	NN
AMAKHUFUMIA	V
BONFACE	NN
NGA	ADP
OMUSOMI	NN
WE	ADP
KIMIMA	NN
KIMILAYI	ADJ
EYI	ADP
NALANGILILAKHO	V
BABANDU	NN
MWOYO	NN
MULAYI	ADJ
KHUMUABINA	V
NIO	CONJ
MBO	ADP
OLANE	V
KHUCHILILA	V
NEBARAKIKHA	V
KAMASOMO	NN
KEWE	DET
MUSISOMELO	NN
SIE	ADP
KHABILI	ADJ
.	PUNCT
