WORD	POS
BASOMI	NN
BABAKELA	
KAMAREBA	NN
KE	ADP
EKILASI	NN
YA	CONJ
MUNANE	NUM
KCPE	X
KUMWESI	NN
KWE	ADP
KHATARU	NUM
KUMWIO	NN
KUNO	DET
BACHA	V
KHWITUBA	V
MUKILASI	NN
YA	CONJ
9	NUM
MUBISOMELO	NN
BIE	ADP
KHABILI	NUM
	NN
YA	CONJ
MUCHULI	ADJE
.	PUNCT
	
BABEBUSI	NN
BE	ADP
BABANA	NN
ABO	PRON
BALI	ADP
MUMBILO	NN
CHE	ADP
KHUBONA	V
MBO	CONJ
BABANA	NN
BABWE	PRON
BOLA	V
MUBISOMELO	NN
ENDALO	NN
YA	ADP
MUCHULI	ADV
BELOCHELE	V
KHUNINA	V
KHWE	ADP
BUKUSI	NN
BWE	ADP
BITABU	NN
NE	CONJ
CHINGUBO	NN
CHE	ADP
EBISOMELO	NN
.	PUNCT
	
BABEBUSI	NN
BABANDI	PRON
BALIKHABEKICHA	V
ESAMBO	NN
YARUMIKHWA	V
NE	CONJ
SEREKALI	NN
YE	ADP
KHUROBORERA	V
BASOMI	NN
BISOMELO	NN
BIE	ADP
KHABILI	NUM
NIBIO	ADV
BACHA	V
KHWITUBAMO	V
.	PUNCT
BABEBUSI	NN
ABO	PRON
BABOLA	V
BALI	DET
ESAMBO	NN
EYO	PRON
YEMANE	V
BABANA	NN
BAKALI	NUM
BUBWANGU	NN
BWE	ADP
KHUKHWITUBA	V
MUBISOMELO	NN
BILAYI	ADV
NIBIO	DET
BENYA	V
.	PUNCT
