BUKUSU ANOTATION  9	
WORD	POS
BAMENYA	NN
MUKAUNTI	NN
YE	ADP
EBUNGOMA	NN
BAMAKHWIRUSIA	V
NE	CONJ
KHUKHWUTUBA	V
MUMATEMBELI	NN
ENDALO	ADV
YA	ADP
LUNO	ADV
ENYUMA	ADP
WA 	ADP
SERAKALI	NN
KHUKHWIKULA	V
KAMATEMBELI	NN
ENDALO	NN
YA	ADP
LUNO	ADV
ENYUMA	ADP
WA 	ADP
SERAKALI	NN
KHUKHINGILILA	V
KHULANDA	V
KHE	ADP
BULWALE	N
BWE	ADP
KHAUKHA	NN
KHWE	ADP
BULWALE	NN
BWE	ADP
KHAUKHA	NN
KORONA	X
13	NUM
SIA	ADP
NYANJA	NN
YA	ADP
VICTORIA	NN
BUNGOMA	NN
NELIMO	ADP
.	PUNCT
	
NAKHALONDO	NN
YINO	DET
YAMAKHUKENDELELA	V
KAMATEMBELI	NN
KAKAUKHANE	ADV
KHUKHWIBONELA	V
LIBA	ADP
LIE	ADP
BANALISUBILA	NN
ALALA	ADV
NE	CONJ
CHINDENGEKHA	NN
RENGEKHA	NN
CHIRERWEO	ADV
KHUYETA	V
KHUBAKHINGILILA	V
KHUAMBISIANA	V
BULWALE	NN
BWE	ADP
KHAUKHA	NN
KHA	ADP
KORONA	X
.	PUNCT
	
NALOMALOMA	V
KHUNAKHANALONDO	NN
YINO	DET
OMWILWACHI	NN
JACK	NN
SIMIYU	NN
WA	ADP
LITEMBELI	NN
LIA	ADP
HOLY	NN
SPIRIT	NN
MUMBEKA	ADV
CHA	ADP
MISIRI	NN
MWISASA	NN
LIE	ADP
KAMATEMBELI	NN
EYI	ADP
NALANGILILAKHO	V
BABEMELESI	NN
BE	ADP
KAMATEMBELI	NN
ALALA	ADP
NENDE	CONJ
BANALISUBILA	NN
KHULONDA	V
MUBUTEREFU	ADV
KAMALAKA	NN
KAYETA	V
KHUKHINGILILA	V
KHULANDA	V
KHWE	ADP
BULWALE	NN
BWE	ADP
KHAUKHA	NN
KHA	ADP
KORONA	X
