WORD	POS
BENJAMIN	NN
.	PUNCT
NAABA	V
NE	CONJ
FWISISIISIE	V
BAANA	NN
BASE	PRON
ABA	CONJ
NAFWISIISIE	V
.	PUNCT
NIO	ADP
BASOLEELI	NN
BA	CONJ
YAKOBO	NN
BABUKULA	V
BIAANWA	NN
NE	CONJ
CHIRUPIA	NN
KHUKHWOLA	V
KHABILI	NUM
NE	CONJ
BENJAMINI	NN
MALA	CONJ
BENYOKHA	V
BACHA	V
E	
MISIRI	NN
,	PUNCT
BEEMA 	V
EBWEENI	ADV
WA 	ADP
YOSUFU	NN
.	PUNCT
NGA	
YOSUFU	NN
NE	CONJ
ABONA	V
BENJAMIN	NN
NE	CONJ
NABO	ADV
,	PUNCT
ABOOLELA 	V
OMUKHOLI	NN
OMUKHULU	ADJ
WE	ADP
OMUNJU	NN
YEWE	DET
ALI	DET
,	PUNCT
YILA	V
BAANDU	NN
BANO	DET
MUNJU	NN
YIIIRA 	V
SISIAAYO	NN
MALA	CONJ
MUTEEKHE	V
SIAKHULIA	NN
	
,	
SIKILA	PUNCT
BALALIA	V
SIAKHULIA	NN
SIE	ADP
KUMUUSI	ADV
NE	CONJ
NASE	PRON
.	PUNCT
OMUKHOLI	NN
AKHOLA	V
NGA	ADP
ALAKWA	V
,	PUNCT
AYIILA	V
BABAANDU	NN
ABO	DET
MUNJU	NN
MWA	ADP
YOSEFU	N
.	PUNCT
U	
ABO	DET
BARIA	V
,	PUNCT
SIKILA	CONJ
SIKILA	NN
BAREERWA	V
MUNJU	NN
MWA	ADP
YOSEFU	NN
BALOMA	V
BALI	DET
,CHIRUPIA	NN
CHICHAKALUSIBWA	V
MU	ADP
MIFUKO	NN
KIEFWE	PRON
MU	ADP
SIISE	NN
SIE	ADP
KHUNYOA	V
NICHO	V
CHIKILILE	V
NE	CONJ
KHUREERWA 	V
MUNO	ADV
,	PUNCT
NIO	ADP
AKHWAANGALISIEKHO	V
BUBWEYAANGU	NN
AKHUAMBE	V
KHUBE	ADP
NASIOOBI	NN
BEWE	PRON
,	PUNCT
MALA	ADP
 AKHUNULE	V
CHIPUNDA	NN
CHEFWE	PRON
.	PUNCT
NIO NGA	ADP
BOOLA	V
AMULIANGO	NN
KWE	ADP
ENJU	NN
EYA	ADP
YOSEFU	NN
BABOOLELA	V
OMUKHOLI	NN
OMUKHULU	ADJ
OWE	ADP
MUNJU 	NN
MWA	ADP
YOSEFU	NN
,	PUNCT
BALI	DET
OMWAMI	NN
NOSIMA	ADJ
KHWECHA	V
ENO	ADV
LULALA	NUM
KHUKULA	V
BIAKHULIA	NN
NGA	ADP
KHWOLA	V
NIO	ADV
KWAKONA	V
SIILO,	NN
KHWAKANGULULA	V
KIMIFUKO	NN
KIEFWE	PRON
MALA	CONJ
CHIRUPIA	NN
CHA	ADP
BULI	ADV
MULALA	NUM
CHABAEMUNWA	NN
WE	ADP
KUMUFUKO	NN
KWEWE	PRON
,	PUNCT
CHIRUPIA	NN
CHEFWE	PRON
BUSA	ADP
CHOOSI	ADP
.	PUNCT
KHWAKO	ADP
,	PUNCT
KHWECHILE	
NACHO	V
LUNDI	ADV
.	PUNCT
NE	CONJ
KHWECHILE	V
NE	CONJ
CHIRUPIA	NN
CHICHIINDI	ADV
MU	ADP
MAKHONO	NN
KIEFWE	PRON
KHUKULE	V
BIAKHULIA	NN
.	PUNCT
SE	
KHEKHUMANYA	V
WAKOBOSIA	V
CHIRUPIA 	NN
CHEFWE	PRON
MU	ADP
MIFUKO	NN
KIEFWE	PRON
TAWE	DET
.	PUNCT
OMUKHOLI 	NN
ABOKOBSIA	V
ALI	DET
MUKHEEMBELELA	V
NAMWE	CONJ
MUKHARIA	V
TAWE	DET
,	PUNCT
WELE	NN
WENYWE	PRON
NE	CONJ
WELE	NN
OWA	ADP
PAAPA	NN
WENYWE	PRON
AMUREERA	V
CHIRUPIA	NN
MU	ADP
MIFUKO	NN
.	PUNCT
ESE	PRON
NANYOLA	V
NICHO	ADV
MWANDUNGA	V
NIO	ADP
KARUSIA	V
SIMIONI	NN
AMUREERA	V
KHU	ADP
NIBO	DET
.	PUNCT
NGA	ADP
OMUKHOLI	NN
NE	CONJ
ABA	
MUNJU	NN
MWA	ADP
YOSEFU	NN
,	PUNCT
NE	CONJ
KHUBAA	V
KAMECHI	NN
BASINGE	V
BIKELE	NN
,	PUNCT
AELESIA	V
CHIPUNDA	NN
BIAKHULIA	NN
.	PUNCT
BEREKEKHA	ADV
NE	CONJ
BIINWA	NN
YOSEFU	NN
AABA	ADP
ALIKHO	V
KECHA	V
ENGO	NN
KHU	ADP
SIAKHULIA	NN
SIE	ADP
KUMUUSI	NN
,	PUNCT
SIKILA	CONJ
 BAABA	v
BAULILE	v
BALI	CONJ
BALALIAYO	v
SIAKHULIA	NN
.	PUNCT
NGA	ADP
YOSEFU	NN
NE	CONJ
ECHA	VV
ENGO	NN
BAMUREERERA	V
MUNJU	NN
BIAANWA	NN
NIBIO	DET
BAABA	V
NABIO	PRON
,	PUNCT
MALA	CONJ
BENAMA	V
EBWEENI	ADJ
WEWE	PRON
BOLA	ADV
ASI	ADJ
.	PUNCT
NIO	DET
KABAREEBA	V
KAMAKHUWA	NN
KABWE	PRON
,	PUNCT
MALA	CONJ
ALOMA	V
ALI	DET
PAAPA	NN
WENYWE	PRON
,	PUNCT
OMUSAKHUULU	ADJ
NIYE	DET
MWABOOLA	V
ALI	V
OMULAMU	ADJ
?	PUNCT
ASIILIO	V
OMULAMU	ADJ
?	PUNCT
BAMUKOBOSIA	V
BALI	CONJ
OMUKHOLI	NN
WOWO	PRON
,	PUNCT
PAAPA	NN
WEFWE	PRON
ALI	V
OMULAMU	ADJ
,	PUNCT
ASIILIO	V
MALA	CONJ
BEENAMA	V
EBWEENI	ADJ
WEWE	PRON
MU	ADP
LIRIA	NN
.	PUNCT
NGA	CONJ
YOSEFU	NN
ABONA	V
WANDAAYE	NN
BENJAMINI	NN
,	PUNCT
OMWANA	NN
OWA	ADP
MAAWE	NN
ALOMA	V
ALI	CONJ
OYUNO	DET
NIYE	V
WANDAAYENYWE	NN
OMUTUA	ADJ
NIYE	PRON
MWAMBOLELA	V
?	PUNCT
WELE	NN
AKHUE	V
KUMWALAALO	NN
MWANA	NN
WASE	PRON
!	PUNCT
YOSEFU	NN
WAREKUKHA	V
KHANGU	ADV
,	PUNCT
SIKILA	CONJ
KUMWOYO	NN
KWEWE	PRON
KWEKOOMBA	V
WANDAAYE	NN
MALA	CONJ
AYIIMA	V
ABUUNDU	NN
NIO	ADP
ALILILAO	V
.	PUNCT
ENGILA	V
MU	ADP
LUSIRO	NN
MWEWE	PRON
MALA	CONJ
ALILILAMO	V
.	PUNCT
MALA	CONJ
ESAABA	V
MUMONI	NN
